PROLIFIC_PID,excluded,exclusion_reason,percent_missing,n_missing_items,percent_identical_responses,response_sd,completion_time_minutes,bottom_completion_percentile,littles_mcar_p_value,missing_pattern_systematic
676d40e2915d059bf7ef62e8,False,,0.0,0,62.5,0.5599179087296003,66.8,93.00518134715026,0.8105445574699165,False
678755cc09f64198c984b217,False,,0.0,0,34.375,0.9310937030562325,31.48333333333333,30.31088082901554,0.8105445574699165,False
5eb342dff78ab11407daf144,False,,0.0,0,50.0,0.895778630487862,26.383333333333333,6.99481865284974,0.8105445574699165,False
6784b7b57a26bfddbafe40e6,False,,0.0,0,62.5,0.6189220598177385,76.46666666666667,94.55958549222797,0.8105445574699165,False
565a3d24c51d430005875042,False,,0.0,0,40.625,1.128801819801464,37.66666666666666,51.94300518134715,0.8105445574699165,False
660e2337aad9e33736f08e84,False,,0.0,0,37.5,0.9979818344716921,34.28333333333333,38.860103626943,0.8105445574699165,False
6711c745bcc0626c2de36d07,False,,0.0,0,53.125,0.762000762001143,30.566666666666663,25.906735751295333,0.8105445574699165,False
678b749494dd9deb974cb25f,False,,0.0,0,37.5,0.8400268812903089,36.6,48.18652849740932,0.8105445574699165,False
677e333ee5769779d2fb960f,False,,0.0,0,43.75,1.0140146973548327,47.516666666666666,73.83419689119171,0.8105445574699165,False
6630ec1ebe18d48a3cecb54e,False,,0.0,0,43.75,0.9283830897266078,29.966666666666665,23.056994818652846,0.8105445574699165,False
5d4869cc692e5400197a980c,False,,0.0,0,46.875,0.7378040652569471,26.416666666666668,7.253886010362693,0.8105445574699165,False
677aae4e7390567a435c3c23,False,,0.0,0,31.25,1.1482806221027917,51.65,80.56994818652849,0.8105445574699165,False
67329e974d0c9d4221e4c4ac,False,,0.0,0,65.625,0.8793096632421185,37.516666666666666,51.55440414507772,0.8105445574699165,False
55ec49b67480920010aaa4e8,False,,0.0,0,46.875,0.6148367210474559,24.7,3.6269430051813467,0.8105445574699165,False
672a3b3af4fe3ca8478cd6c6,False,,0.0,0,40.625,1.4368424162141993,34.13333333333333,38.34196891191709,0.8105445574699165,False
675ed2ef6a6a6ae2ce682c30,False,,0.0,0,50.0,0.7156093726283553,28.73333333333333,15.284974093264248,0.8105445574699165,False
67880f3fcfe89c43f375f668,False,,0.0,0,34.375,1.0701220913160239,24.416666666666668,3.3678756476683933,0.8105445574699165,False
66046ee084b12b781cb49495,False,,0.0,0,59.375,0.6082431071696208,28.766666666666666,15.5440414507772,0.8105445574699165,False
67808d0260180c6133619b2b,False,,0.0,0,53.125,0.6599120175960898,28.53333333333333,13.730569948186528,0.8105445574699165,False
6738c218706186b3fe8e8f56,False,,0.0,0,46.875,0.6148367210474559,62.91666666666666,89.8963730569948,0.8105445574699165,False
67856f922cc646ac823a1660,False,,0.0,0,75.0,0.7975516971817058,33.1,36.787564766839374,0.8105445574699165,False
5f81fc9446ee002f681ea5e3,False,,0.0,0,46.875,0.7718588789618592,64.86666666666666,90.93264248704662,0.8105445574699165,False
678ac1267cd2b3ce8d1fbf69,False,,0.0,0,43.75,1.1175830776653122,31.516666666666666,30.569948186528496,0.8105445574699165,False
66eddeb07ae1f7510780b109,False,,0.0,0,31.25,1.016001016001524,37.48333333333333,51.295336787564764,0.8105445574699165,False
