outcome_variable,effect,F_value,df_numerator,df_denominator,p_value,partial_eta_squared,partial_eta_squared_lower_ci,partial_eta_squared_upper_ci,significance_indicator
accuracy,1,18661.26129668419,1.0,222.0,3.3997917096062345e-216,0.9822268132899377,0.9769399993877522,0.9863100251854235,***
accuracy,2,2.8467566789122594,1.0,222.0,0.0929629892463345,0.008360068639866209,0.0015869070141297727,0.048224275742348,.
accuracy,3,81.19283194759423,3.0,666.0,8.973646637167678e-45,0.11133573781982434,0.07004738718708398,0.1594212294336001,***
accuracy,4,0.7557593655762913,3.0,666.0,0.5192348784968983,0.0011648139344043113,0.001736214353131183,0.011998146380605632,
rt,1,3174.8761549081923,1.0,222.0,1.7304038659103565e-133,0.9238766450622908,0.9021142499376141,0.9409572819339673,***
rt,2,0.6132640883260421,1.0,222.0,0.4343960709576815,0.0023388365897069395,0.006881735595350808,0.031694128021641135,
rt,3,520.8788549730691,3.0,666.0,3.6074428997759038e-174,0.26206986985790165,0.20595486498618654,0.32001400049798817,***
rt,4,0.5933780169619031,3.0,666.0,0.619495117868191,0.0004044090882200083,0.003098529921361344,0.009149681382553003,
