PROLIFIC_PID,task,condition,rt,accuracy_or_d_prime,efficiency_score
5cd063ce657e300016f6c95a,MRT,angle_0,1.572669565217391,0.9583333333333334,1.6410465028355383
5cd063ce657e300016f6c95a,MRT,angle_50,2.0541869565217388,0.9583333333333334,2.143499432892249
5cd063ce657e300016f6c95a,MRT,angle_100,2.816581818181818,0.9166666666666666,3.0726347107438015
5cd063ce657e300016f6c95a,MRT,angle_150,3.0727727272727274,0.9565217391304348,3.212444214876033
678e92010390e1c202944292,MRT,angle_0,1.3939863636363634,0.9565217391304348,1.457349380165289
678e92010390e1c202944292,MRT,angle_50,1.6861043478260869,0.9583333333333334,1.7594132325141776
678e92010390e1c202944292,MRT,angle_100,2.03052380952381,0.9130434782608696,2.2239070294784584
678e92010390e1c202944292,MRT,angle_150,2.160122727272727,0.9166666666666666,2.3564975206611565
64013a8e233aaa42388c821f,MRT,angle_0,1.810136363636364,0.9565217391304348,1.8924152892561987
64013a8e233aaa42388c821f,MRT,angle_50,2.4330000000000003,0.8695652173913043,2.7979500000000006
64013a8e233aaa42388c821f,MRT,angle_100,3.002272727272728,0.9166666666666666,3.2752066115702485
64013a8e233aaa42388c821f,MRT,angle_150,2.865,0.9130434782608696,3.137857142857143
6754d95f656838004bc46eed,MRT,angle_0,2.6650399999999994,0.8333333333333334,3.198047999999999
6754d95f656838004bc46eed,MRT,angle_50,3.343605,0.9090909090909092,3.6779655
6754d95f656838004bc46eed,MRT,angle_100,4.209075,0.9090909090909092,4.6299825
6754d95f656838004bc46eed,MRT,angle_150,4.324061904761904,0.9545454545454546,4.529969614512471
675ed2ef6a6a6ae2ce682c30,MRT,angle_0,0.2535384615384615,0.5909090909090909,0.42906508875739635
675ed2ef6a6a6ae2ce682c30,MRT,angle_50,0.2426875,0.7272727272727273,0.3336953125
675ed2ef6a6a6ae2ce682c30,MRT,angle_100,0.8080000000000002,0.5454545454545454,1.4813333333333338
675ed2ef6a6a6ae2ce682c30,MRT,angle_150,0.2956666666666667,0.5217391304347826,0.5666944444444445
5e76d2652d882b2481d65066,MRT,angle_0,2.423343478260869,1.0,2.423343478260869
5e76d2652d882b2481d65066,MRT,angle_50,2.5850000000000004,1.0,2.5850000000000004
5e76d2652d882b2481d65066,MRT,angle_100,3.3425541666666665,1.0,3.3425541666666665
5e76d2652d882b2481d65066,MRT,angle_150,2.61493,0.8695652173913043,3.0071695000000003
671469967e2a4f2e612e3846,MRT,angle_0,1.3187380952380954,0.9130434782608696,1.4443321995464853
671469967e2a4f2e612e3846,MRT,angle_50,2.218626086956522,0.9583333333333334,2.31508809073724
671469967e2a4f2e612e3846,MRT,angle_100,2.7186000000000003,0.8181818181818182,3.3227333333333338
671469967e2a4f2e612e3846,MRT,angle_150,2.6563047619047624,0.875,3.0357768707483
651d64f5eb4ac4993ecc5abd,MRT,angle_0,1.3006181818181817,0.9565217391304348,1.3597371900826445
651d64f5eb4ac4993ecc5abd,MRT,angle_50,2.0844624999999994,1.0,2.0844624999999994
651d64f5eb4ac4993ecc5abd,MRT,angle_100,2.3158095238095235,0.9130434782608696,2.5363628117913826
651d64f5eb4ac4993ecc5abd,MRT,angle_150,2.1871315789473686,0.8260869565217391,2.6475803324099725
62861bcc5f0edf6340c914df,MRT,angle_0,1.4515434782608696,1.0,1.4515434782608696
62861bcc5f0edf6340c914df,MRT,angle_50,1.5471318181818183,0.9565217391304348,1.6174559917355373
62861bcc5f0edf6340c914df,MRT,angle_100,2.1350590909090914,0.9166666666666666,2.329155371900827
62861bcc5f0edf6340c914df,MRT,angle_150,2.1057809523809525,0.9545454545454546,2.2060562358276643
6773f03382962d5d8c2ca38a,MRT,angle_0,1.5577571428571428,0.9130434782608696,1.7061149659863943
