angular_disparity,mean_accuracy,sd_accuracy,se_accuracy,ci_accuracy_lower,ci_accuracy_upper,mean_rt,sd_rt,se_rt,ci_rt_lower,ci_rt_upper,n
0,0.9296635164560577,0.07769883336262925,0.005101178323104425,0.9196652069427731,0.9396618259693423,1.9110475655738441,0.5399404336301242,0.035448826148351695,1.8415678663230748,1.9805272648246135,232
50,0.8863686460341258,0.11720922894771252,0.0076951628756813314,0.8712861267977904,0.9014511652704612,2.480027454523614,0.7349043875120981,0.048248836808586416,2.385459734378785,2.5745951746684432,232
100,0.8480242981667206,0.12505484329565617,0.008210252692492101,0.8319322028894361,0.8641163934440051,2.937910990236355,0.7884164077698174,0.05176207305616558,2.8364573270462707,3.0393646534264396,232
150,0.8182124216628907,0.13207786864682888,0.008671336895865045,0.8012166013469951,0.8352082419787862,3.0708905137836098,0.8359415526636355,0.05488225167973994,2.9633213004913195,3.1784597270759,232
