comparison,r1,r2,z_score,p_value,r_difference,hypothesis_supported,n
set_size_3 vs. set_size_5 (accuracy),0.24179957685791367,0.20181072629511188,0.36671518975980816,0.7138314749866093,0.0399888505628018,False,155
delay_1 vs. delay_3 (accuracy),0.2755640189024855,0.17094008001812977,0.9610525347774584,0.33652575372803306,0.10462393888435573,False,155
small_angles vs. large_angles (accuracy),0.23129551882230112,0.2314945919188146,-0.0018336599118225427,0.9985369518864635,0.0001990730965134857,False,155
set_size_3 vs. set_size_5 (RT),0.05691152222654367,-0.02656333683780338,0.7283081396406923,0.46642498079293016,0.08347485906434705,False,155
