comparison,mean_difference,t_value,df,p_value_uncorrected,p_value_corrected,cohens_d,cohens_d_lower_ci,cohens_d_upper_ci,significance_indicator
0° vs 50°,0.08054369122689609,6.429815472790234,231,7.252914411128431e-10,4.351748646677058e-09,0.42213806683916805,0.16193166405765264,0.6823444696206835,True
0° vs 100°,0.14498319588532596,11.505728552918573,231,1.6254590020576317e-24,9.75275401234579e-24,0.7553880868679976,0.4890121459314269,1.0217640278045683,True
0° vs 150°,0.19394824782922088,15.509275567210056,231,1.1751769713902233e-37,7.051061828341339e-37,1.0182338254844012,0.7447091955938685,1.291758455374934,True
50° vs 100°,0.06443950465842986,5.3235551041975215,231,2.4073995036991094e-07,1.4444397022194657e-06,0.34950851543217254,0.09019522889523074,0.6088218019691143,True
50° vs 150°,0.11340455660232478,9.410842488784276,231,5.1801186070673175e-18,3.1080711642403905e-17,0.6178520787034885,0.35442754249834996,0.881276614908627,True
100° vs 150°,0.048965051943894916,4.142029819878135,231,4.830174280112229e-05,0.00028981045680673376,0.27193758022339853,0.013394969565559689,0.5304801908812373,True
