PROLIFIC_PID,angular_disparity,n_valid_trials,n_correct_trials,accuracy,mean_rt_correct,rt_sd_correct
5cd063ce657e300016f6c95a,0,24,23.0,0.9583333333333334,1.572669565217391,0.8381395563089732
5cd063ce657e300016f6c95a,50,24,23.0,0.9583333333333334,2.0541869565217388,1.0064857390961646
5cd063ce657e300016f6c95a,100,24,22.0,0.9166666666666666,2.816581818181818,1.4012096908560538
5cd063ce657e300016f6c95a,150,23,22.0,0.9565217391304348,3.0727727272727274,1.6891771699859466
678e92010390e1c202944292,0,23,22.0,0.9565217391304348,1.3939863636363634,0.244135056875638
678e92010390e1c202944292,50,24,23.0,0.9583333333333334,1.6861043478260869,0.5248600908625433
678e92010390e1c202944292,100,23,21.0,0.9130434782608695,2.03052380952381,0.7576001913309961
678e92010390e1c202944292,150,24,22.0,0.9166666666666666,2.160122727272727,0.6400452416537727
64013a8e233aaa42388c821f,0,23,22.0,0.9565217391304348,1.8101363636363637,0.7659235505462573
64013a8e233aaa42388c821f,50,23,20.0,0.8695652173913043,2.4330000000000003,0.7483589062953544
64013a8e233aaa42388c821f,100,24,22.0,0.9166666666666666,3.002272727272728,0.7823861658759774
64013a8e233aaa42388c821f,150,23,21.0,0.9130434782608695,2.8649999999999998,0.908057652354739
6754d95f656838004bc46eed,0,24,20.0,0.8333333333333334,2.6650399999999994,1.7887475348910888
6754d95f656838004bc46eed,50,22,20.0,0.9090909090909091,3.343605,1.6064503152095437
6754d95f656838004bc46eed,100,22,20.0,0.9090909090909091,4.209075,1.657195194447534
6754d95f656838004bc46eed,150,22,21.0,0.9545454545454546,4.324061904761904,1.3078069347102388
675ed2ef6a6a6ae2ce682c30,0,22,13.0,0.5909090909090909,0.25353846153846155,0.025280477924726104
675ed2ef6a6a6ae2ce682c30,50,22,16.0,0.7272727272727273,0.24268750000000003,0.018365615517410068
675ed2ef6a6a6ae2ce682c30,100,22,12.0,0.5454545454545454,0.8080000000000002,1.157317274012305
675ed2ef6a6a6ae2ce682c30,150,23,12.0,0.5217391304347826,0.2956666666666667,0.15571204970792218
5e76d2652d882b2481d65066,0,23,23.0,1.0,2.423343478260869,0.7633123266551612
5e76d2652d882b2481d65066,50,24,24.0,1.0,2.5850000000000004,0.7041005949621737
5e76d2652d882b2481d65066,100,24,24.0,1.0,3.3425541666666665,0.9542584550908201
5e76d2652d882b2481d65066,150,23,20.0,0.8695652173913043,2.61493,0.8608083924581101
671469967e2a4f2e612e3846,0,23,21.0,0.9130434782608695,1.3187380952380954,0.4366049902099041
671469967e2a4f2e612e3846,50,24,23.0,0.9583333333333334,2.218626086956522,0.8913100446265453
