comparison,mean_difference,t_value,df,p_value_uncorrected,p_value_corrected,cohens_d,cohens_d_lower_ci,cohens_d_upper_ci,significance_indicator
0° vs 50°,-0.2556523151588453,-20.892922085994183,231,3.827451018510661e-55,2.2964706111063963e-54,-1.3716875355640046,-1.6577106457847572,-1.085664425343252,True
0° vs 100°,-0.4333488284547163,-31.267954402044957,231,5.692458504718216e-85,3.415475102830929e-84,-2.0528417776764916,-2.370837217308689,-1.7348463380442938,True
0° vs 150°,-0.4740409427887666,-34.99580890717534,231,2.6241372932402984e-94,1.5744823759441792e-93,-2.2975874163208494,-2.629153638247484,-1.966021194394215,True
50° vs 100°,-0.17769651329587097,-16.98884993812466,231,1.5178625121622605e-42,9.107175072973563e-42,-1.1153726418821333,-1.3920160891166415,-0.8387291946476251,True
50° vs 150°,-0.21838862762992123,-19.73845023686624,231,1.7642748986497495e-51,1.0585649391898497e-50,-1.2958927453910256,-1.5789745325233953,-1.012810958258656,True
100° vs 150°,-0.040692114334050275,-4.270502418473837,231,2.8499653151343475e-05,0.00017099791890806085,-0.28037221954430885,-0.538989406824465,-0.021755032264152818,True
