PROLIFIC_PID,va_d_prime_ss3_d1,va_d_prime_ss3_d3,va_d_prime_ss5_d1,va_d_prime_ss5_d3,va_set_size_effect_delay1,va_set_size_effect_delay3,va_delay_effect_size3,va_delay_effect_size5,mrt_accuracy_0,mrt_accuracy_50,mrt_accuracy_100,mrt_accuracy_150,mrt_rt_slope,mrt_overall_accuracy,familiar_person_score,sunrise_score,shop_front_score,countryside_score,driving_score,beach_score,railway_station_score,garden_score
649d257f5e8bfe6ee264e160,,,,,,,,,,,,,,,16,20,16,16,13,15,10.0,14.0
6778cbf3f0597689c7b5cb4a,,,,,,,,,0.7391304347826086,0.5,0.5416666666666666,0.7083333333333334,0.0002090518853695,0.6222826086956522,20,15,20,16,19,17,20.0,20.0
673594215b1a0b92d5835525,,,,,,,,,,,,,,,20,20,18,17,14,17,20.0,16.0
672a89bc5e3d67a9fdbdf803,3.2288199630120378,2.217715480016221,0.6950799924537355,1.4661283579394562,2.5337399705583024,0.7515871220767654,1.0111044829958162,-0.7710483654857206,0.9166666666666666,0.9090909090909092,0.75,0.7727272727272727,0.0057938367201426,0.8371212121212122,17,14,16,14,10,12,16.0,16.0
5d76d2f7daf4bf00164d585b,2.5604636462620807,1.2000886025789064,1.0850198398645678,0.7916386077433746,1.4754438063975128,0.4084499948355318,1.3603750436831743,0.2933812321211932,1.0,0.9523809523809524,0.6818181818181818,0.7142857142857143,0.0247499181818181,0.8371212121212122,16,18,18,12,11,12,15.0,15.0
65d563ecf8df20ade2f17888,3.5344074868614355,3.571568129257897,3.194901910791553,1.9116767659149505,0.3395055760698819,1.6598913633429466,-0.0371606423964614,1.2832251448766032,0.9565217391304348,0.9090909090909092,0.9166666666666666,0.782608695652174,0.010780593030303,0.8912220026350461,4,7,4,4,4,4,4.0,4.0
671609ab4a3f2c6c76dfe9d8,,,,,,,,,,,,,,,12,14,14,13,10,12,13.0,12.0
6501c0a2e788b5556c24569d,,,,,,,,,0.8695652173913043,1.0,0.9090909090909092,0.782608695652174,0.0108842491304347,0.8903162055335968,10,10,10,12,9,9,11.0,12.0
6788f11866ac65cc607b3c6a,,,,,,,,,,,,,,,17,20,19,17,15,18,18.0,18.0
67896d4bcf7daeb9b9c6945e,,,,,,,,,,,,,,,15,15,18,18,19,15,16.0,18.0
67896102d98295a520a25ebb,2.485310025471724,1.811714840529576,1.29404083111673,1.5224784561595568,1.191269194354994,0.2892363843700192,0.673595184942148,-0.2284376250428268,1.0,0.9565217391304348,0.9166666666666666,0.75,0.0041690454545454,0.9057971014492754,10,14,13,10,10,12,17.0,13.0
6772e011adc3bb3fd579cdb9,,,,,,,,,,,,,,,16,16,13,14,14,15,13.0,14.0
6739ff11a2162a865c36fa64,,,,,,,,,0.782608695652174,0.8333333333333334,0.7272727272727273,0.6818181818181818,0.0145342724999999,0.756258234519104,18,14,16,16,12,13,8.0,12.0
67094b39bddd9489c48cdc8f,3.2679768834247134,2.4936473961509886,1.4336768806787117,1.967636016058878,1.834300002746002,0.5260113800921107,0.7743294872737247,-0.5339591353801665,1.0,0.7083333333333334,0.6666666666666666,0.3333333333333333,0.0059833679667519,0.6770833333333334,13,10,20,8,5,7,4.0,15.0
6743c8da977b0d274dad1fc2,,,,,,,,,,,,,,,19,16,18,16,16,14,16.0,16.0
662848c40caa342b28493265,1.756392150162331,1.3022647393089928,1.329518256983208,1.606089242065552,0.4268738931791229,-0.3038245027565593,0.4541274108533382,-0.2765709850823441,0.8695652173913043,0.3478260869565217,0.5833333333333334,0.6190476190476191,0.0052393478021978,0.6049430641821946,19,14,20,16,15,15,18.0,18.0
67860774acf7592ed65861bb,,,,,,,,,,,,,,,17,13,17,10,15,12,20.0,17.0
6759fef1b173fb9839ebe137,,,,,,,,,,,,,,,14,14,15,13,15,16,16.0,11.0
671d48bbee99c1439ae0d0de,1.9920256942057104,1.8038864412542712,1.606089242065552,1.3686751773958834,0.385936452140158,0.4352112638583878,0.1881392529514389,0.2374140646696687,,,,,,,10,7,7,12,7,8,10.0,14.0
6500aa732c4f0eb077f8c809,2.822819323525392,1.758615024806716,1.433676880678711,0.6625074372225022,1.3891424428466808,1.096107587584214,1.0642042987186755,0.7711694434562089,,,,,,,14,6,11,7,10,11,9.0,10.0
5ac5260dfa3b4e0001736dd3,2.836395562396848,2.89131066495837,1.9488374083114115,0.7916386077433746,0.8875581540854365,2.0996720572149954,-0.0549151025615222,1.1571988005680367,,,,,,,13,12,14,11,16,13,11.0,14.0
6646abc0720d1baaa7e0af4c,0.4982573756221813,0.385936452140158,1.967636016058878,0.3223898535806504,-1.4693786404366966,0.0635465985595076,0.1123209234820232,1.6452461624782275,,,,,,,19,14,19,20,20,20,20.0,20.0
676a8044ed42478d4ef6493e,,,,,,,,,,,,,,,17,15,18,20,18,18,16.0,17.0
67343fb98c1f4f89ea821878,0.7957834554945489,1.792183229073417,0.5563035475834245,0.1968226168315542,0.2394799079111244,1.5953606122418629,-0.996399773578868,0.3594809307518702,0.6956521739130435,0.5652173913043478,0.6086956521739131,0.5217391304347826,-0.0016972270604395,0.5978260869565217,15,16,16,17,14,16,16.0,16.0
674b47940b75eb06298f0c67,,,,,,,,,0.8695652173913043,1.0,0.9583333333333334,0.782608695652174,0.0083995720289855,0.9026268115942029,15,10,17,14,14,14,14.0,12.0
6711263a9c4a226969aeb686,,,,,,,,,,,,,,,18,19,18,14,20,19,19.0,20.0
6787c530d8f7650e446d17a1,,,,,,,,,,,,,,,16,12,16,12,14,16,16.0,16.0
