PROLIFIC_PID,condition,set_size,delay,n_valid_trials,n_hit_trials,n_fa_trials,hit_rate,fa_rate,hit_rate_corrected,fa_rate_corrected,d_prime,criterion,mean_rt,rt_sd
5cd063ce657e300016f6c95a,SS5_D3,5,3,28,7,3,0.5,0.21428571428571427,0.5,0.21428571428571427,0.7916386077433746,0.3958193038716873,1.2846928571428573,0.3021577144332648
5cd063ce657e300016f6c95a,SS5_D1,5,1,27,14,3,1.0,0.23076923076923078,0.9642857142857143,0.23076923076923078,2.5390590081153204,-0.5332135866815306,1.1668518518518518,0.22620146461195292
5cd063ce657e300016f6c95a,SS3_D3,3,3,27,12,1,0.8571428571428571,0.07692307692307693,0.8571428571428571,0.07692307692307693,2.4936473961509886,0.17925317419735287,1.2176777777777776,0.4285350226539549
5cd063ce657e300016f6c95a,SS3_D1,3,1,27,11,0,0.8461538461538461,0.0,0.8461538461538461,0.03571428571428571,2.8228193235253918,0.3913334289764945,0.9759962962962964,0.1493678486707371
678e92010390e1c202944292,SS5_D3,5,3,28,7,3,0.5,0.21428571428571427,0.5,0.21428571428571427,0.7916386077433746,0.3958193038716873,0.9402571428571429,0.2866183840845491
678e92010390e1c202944292,SS5_D1,5,1,28,9,2,0.6428571428571429,0.14285714285714285,0.6428571428571429,0.14285714285714285,1.4336768806787115,0.35073208353878593,0.9072785714285715,0.1941911798682534
678e92010390e1c202944292,SS3_D3,3,3,27,9,4,0.6428571428571429,0.3076923076923077,0.6428571428571429,0.3076923076923077,0.8685085801739253,0.06814793328639285,0.8926222222222221,0.20603915858834912
678e92010390e1c202944292,SS3_D1,3,1,27,12,3,0.8571428571428571,0.23076923076923078,0.8571428571428571,0.23076923076923078,1.803886441254271,-0.16562730325100594,0.8944666666666665,0.32841443212923704
64013a8e233aaa42388c821f,SS5_D3,5,3,27,12,2,0.8571428571428571,0.15384615384615385,0.8571428571428571,0.15384615384615385,2.087646756664343,-0.023747145545970016,1.1912592592592592,0.40891936318062216
64013a8e233aaa42388c821f,SS5_D1,5,1,26,6,3,0.46153846153846156,0.23076923076923078,0.46153846153846156,0.23076923076923078,0.6397573020864905,0.4164372663328843,1.283423076923077,0.5019757104145118
64013a8e233aaa42388c821f,SS3_D3,3,3,28,8,2,0.5714285714285714,0.14285714285714285,0.5714285714285714,0.14285714285714285,1.2475828936708466,0.44377907704271835,1.1216071428571428,0.43381181611263403
64013a8e233aaa42388c821f,SS3_D1,3,1,27,14,3,1.0,0.23076923076923078,0.9642857142857143,0.23076923076923078,2.5390590081153204,-0.5332135866815306,1.235111111111111,0.4293554501390457
676379302839a2e46a4d6de5,SS5_D3,5,3,26,8,4,0.6153846153846154,0.3076923076923077,0.6153846153846154,0.3076923076923077,0.7957834554945489,0.10451049562608103,0.9886692307692309,0.4936027834356129
676379302839a2e46a4d6de5,SS5_D1,5,1,26,9,4,0.6923076923076923,0.3076923076923077,0.6923076923076923,0.3076923076923077,1.004804446746711,-0.0,1.2415538461538462,0.6424741353429065
676379302839a2e46a4d6de5,SS3_D3,3,3,27,7,5,0.5,0.38461538461538464,0.5,0.38461538461538464,0.29338123212119327,0.14669061606059663,1.2508925925925927,0.950950510693997
676379302839a2e46a4d6de5,SS3_D1,3,1,27,6,6,0.46153846153846156,0.42857142857142855,0.46153846153846156,0.42857142857142855,0.08345375450306602,0.1382854925411721,1.604437037037037,0.8444815711192956
6754d95f656838004bc46eed,SS5_D3,5,3,27,8,2,0.6153846153846154,0.14285714285714285,0.6153846153846154,0.14285714285714285,1.3609517559993352,0.3870946458784741,2.0132296296296297,0.8621162655014493
6754d95f656838004bc46eed,SS5_D1,5,1,26,6,1,0.5,0.07142857142857142,0.5,0.07142857142857142,1.4652337926855226,0.7326168963427613,1.6862692307692309,0.3940410209805378
6754d95f656838004bc46eed,SS3_D3,3,3,27,13,1,1.0,0.07142857142857142,0.9615384615384616,0.07142857142857142,3.234058831204229,-0.15179562291659188,1.8396814814814815,0.9270289233049175
6754d95f656838004bc46eed,SS3_D1,3,1,26,11,0,0.8461538461538461,0.0,0.8461538461538461,0.038461538461538464,2.7889012713049075,0.37437440286625245,1.5721,0.4958334486498465
672ba9e5dbe3b9649ad3864d,SS5_D3,5,3,27,6,2,0.46153846153846156,0.14285714285714285,0.46153846153846156,0.14285714285714285,0.9710119085885026,0.5820645695838904,1.5011185185185185,0.41948976703118107
