effect,F_value,df_numerator,df_denominator,p_value,partial_eta_squared,partial_eta_squared_lower_ci,partial_eta_squared_upper_ci,significance_indicator
set_size,482.9009425579548,1,198,6.864219872338039e-55,0.2689665686345016,0.1750313359042411,0.36960015868954377,*
delay,14.477662088255846,1,198,0.00018922362847356353,0.01138792802611579,4.843510556412218e-05,0.058408844162664245,*
set_size * delay,0.63036510105784,1,198,0.42817674794650595,0.0004105561213781158,5.393741720022521e-06,0.02704913927426432,ns
