effect,F_value,df_numerator,df_denominator,p_value,partial_eta_squared,partial_eta_squared_lower_ci,partial_eta_squared_upper_ci,significance_indicator
1,1304.8334818355706,1.0,149.0,1.3577023385825887e-75,0.8348045718938324,0.7795123034098445,0.8772876376820729,***
2,9.188613373201306,1.0,149.0,0.0028725505714533206,0.03436334437524619,0.000727152542633816,0.11202369651748556,**
3,422.61018029098847,1.0,149.0,2.3857247305058032e-45,0.2958716415768134,0.17742056349913915,0.4187470932064053,***
5,19.031741593137326,1.0,149.0,2.388457070303151e-05,0.018577584128870454,0.0005481213640482095,0.08365233737636706,***
4,0.8695567294293807,1.0,149.0,0.3525866220955457,0.0008638416658977776,0.01701007168254001,0.0352374475837759,
6,0.6061596524752894,1.0,149.0,0.43747210590464414,0.0006025318396769459,0.01827507716059363,0.03350174565837522,
7,0.002147552240391875,1.0,149.0,0.9630999641206794,1.8246630360970812e-06,0.02492821972741435,0.02576662493495885,
8,0.49291950627525577,1.0,149.0,0.483723144546358,0.0004186334108607757,0.019375654986108746,0.032069923879963665,
