PROLIFIC_PID,task,condition,mean_rt,rt_sd,coefficient_variation,n_trials
5cd063ce657e300016f6c95a,VA,SS5_D3,1.2846928571428573,0.3021577144332648,0.2351984077386872,28
5cd063ce657e300016f6c95a,VA,SS5_D1,1.1668518518518518,0.2262014646119529,0.19385619884217517,27
5cd063ce657e300016f6c95a,VA,SS3_D3,1.2176777777777776,0.4285350226539549,0.35192809663983304,27
5cd063ce657e300016f6c95a,VA,SS3_D1,0.9759962962962964,0.1493678486707371,0.15304140931431515,27
678e92010390e1c202944292,VA,SS5_D3,0.9402571428571428,0.2866183840845491,0.30482978647054665,28
678e92010390e1c202944292,VA,SS5_D1,0.9072785714285716,0.1941911798682534,0.21403699589475175,28
678e92010390e1c202944292,VA,SS3_D3,0.8926222222222221,0.2060391585883491,0.23082459013333276,27
678e92010390e1c202944292,VA,SS3_D1,0.8944666666666665,0.328414432129237,0.3671622927583331,27
64013a8e233aaa42388c821f,VA,SS5_D3,1.1912592592592592,0.4089193631806221,0.3432664720145752,27
64013a8e233aaa42388c821f,VA,SS5_D1,1.283423076923077,0.5019757104145118,0.3911225529916182,26
64013a8e233aaa42388c821f,VA,SS3_D3,1.1216071428571428,0.433811816112634,0.38677697344861495,28
64013a8e233aaa42388c821f,VA,SS3_D1,1.235111111111111,0.4293554501390457,0.34762495963038964,27
676379302839a2e46a4d6de5,VA,SS5_D3,0.9886692307692307,0.4936027834356129,0.49925978079803995,26
676379302839a2e46a4d6de5,VA,SS5_D1,1.2415538461538462,0.6424741353429065,0.5174758528058998,26
676379302839a2e46a4d6de5,VA,SS3_D3,1.250892592592593,0.950950510693997,0.7602175569071541,27
676379302839a2e46a4d6de5,VA,SS3_D1,1.604437037037037,0.8444815711192956,0.5263413593834916,27
6754d95f656838004bc46eed,VA,SS5_D3,2.0132296296296297,0.8621162655014493,0.4282255003668167,27
6754d95f656838004bc46eed,VA,SS5_D1,1.6862692307692309,0.3940410209805378,0.23367622073065214,26
6754d95f656838004bc46eed,VA,SS3_D3,1.8396814814814813,0.9270289233049176,0.5039072973427924,27
6754d95f656838004bc46eed,VA,SS3_D1,1.5721,0.4958334486498465,0.3153956164683204,26
672ba9e5dbe3b9649ad3864d,VA,SS5_D3,1.5011185185185183,0.419489767031181,0.2794514635960812,27
672ba9e5dbe3b9649ad3864d,VA,SS5_D1,1.5450962962962962,0.4924524174448669,0.31871956370959514,27
672ba9e5dbe3b9649ad3864d,VA,SS3_D3,1.5131074074074076,0.5027591539356563,0.33226930981528613,27
672ba9e5dbe3b9649ad3864d,VA,SS3_D1,1.432589285714286,0.3670365905054171,0.2562050366881066,28
64012a2623351894f2917605,VA,SS5_D3,0.9331481481481482,0.1414897940607795,0.1516262925041098,27
64012a2623351894f2917605,VA,SS5_D1,0.9112592592592592,0.1196432493812631,0.13129441283100732,27
64012a2623351894f2917605,VA,SS3_D3,0.9600370370370372,0.2182495892112587,0.22733455147193332,27
64012a2623351894f2917605,VA,SS3_D1,0.949074074074074,0.2698228658164072,0.28430116593338517,27
5e76d2652d882b2481d65066,VA,SS5_D3,1.7993148148148148,0.5114643695415559,0.28425507606027006,27
