PROLIFIC_PID,Sex,task,measure,condition,value,z_score_within_gender
5cd063ce657e300016f6c95a,Male,VA,d_prime,SS5_D3,0.7916386077433746,-0.6258959569937171
5cd063ce657e300016f6c95a,Male,VA,mean_rt,SS5_D3,1.2846928571428573,-0.04968323102406469
5cd063ce657e300016f6c95a,Male,VA,d_prime,SS5_D1,2.5390590081153204,1.8243192350011974
5cd063ce657e300016f6c95a,Male,VA,mean_rt,SS5_D1,1.1668518518518518,-0.13465583442536846
5cd063ce657e300016f6c95a,Male,VA,d_prime,SS3_D3,2.4936473961509886,0.36151722816954535
5cd063ce657e300016f6c95a,Male,VA,mean_rt,SS3_D3,1.2176777777777776,0.021307900240759715
5cd063ce657e300016f6c95a,Male,VA,d_prime,SS3_D1,2.822819323525392,0.5978403544716462
5cd063ce657e300016f6c95a,Male,VA,mean_rt,SS3_D1,0.9759962962962964,-0.5352520229554424
678e92010390e1c202944292,Male,VA,d_prime,SS5_D3,0.7916386077433746,-0.6258959569937171
678e92010390e1c202944292,Male,VA,mean_rt,SS5_D3,0.9402571428571428,-1.0114534807791085
678e92010390e1c202944292,Male,VA,d_prime,SS5_D1,1.4336768806787117,0.23438439353599316
678e92010390e1c202944292,Male,VA,mean_rt,SS5_D1,0.9072785714285716,-0.997202068837192
678e92010390e1c202944292,Male,VA,d_prime,SS3_D3,0.8685085801739253,-1.6411760593188145
678e92010390e1c202944292,Male,VA,mean_rt,SS3_D3,0.8926222222222221,-0.9714730379937179
678e92010390e1c202944292,Male,VA,d_prime,SS3_D1,1.803886441254271,-0.6625351122941
678e92010390e1c202944292,Male,VA,mean_rt,SS3_D1,0.8944666666666665,-0.8283579242655418
64013a8e233aaa42388c821f,Male,VA,d_prime,SS5_D3,2.087646756664343,1.3745118627456239
64013a8e233aaa42388c821f,Male,VA,mean_rt,SS5_D3,1.1912592592592592,-0.3105785187220148
64013a8e233aaa42388c821f,Male,VA,d_prime,SS5_D1,0.6397573020864905,-0.9075559074641549
64013a8e233aaa42388c821f,Male,VA,mean_rt,SS5_D1,1.283423076923077,0.25270326148002287
64013a8e233aaa42388c821f,Male,VA,d_prime,SS3_D3,1.2475828936708466,-1.1740346830646784
64013a8e233aaa42388c821f,Male,VA,mean_rt,SS3_D3,1.1216071428571428,-0.27210992770646586
64013a8e233aaa42388c821f,Male,VA,d_prime,SS3_D1,2.5390590081153204,0.2468412394098149
64013a8e233aaa42388c821f,Male,VA,mean_rt,SS3_D1,1.235111111111111,0.3962876109679574
676379302839a2e46a4d6de5,Male,VA,d_prime,SS5_D3,0.7957834554945489,-0.6194983229510753
676379302839a2e46a4d6de5,Male,VA,mean_rt,SS5_D3,0.9886692307692307,-0.8762720697023562
676379302839a2e46a4d6de5,Male,VA,d_prime,SS5_D1,1.004804446746711,-0.3824875535740583
676379302839a2e46a4d6de5,Male,VA,mean_rt,SS5_D1,1.2415538461538462,0.11357435237647746
676379302839a2e46a4d6de5,Male,VA,d_prime,SS3_D3,0.2933812321211932,-2.349917779147654
676379302839a2e46a4d6de5,Male,VA,mean_rt,SS3_D3,1.250892592592593,0.12275220553429259
676379302839a2e46a4d6de5,Male,VA,d_prime,SS3_D1,0.083453754503066,-2.7906351945781496
676379302839a2e46a4d6de5,Male,VA,mean_rt,SS3_D1,1.604437037037037,1.7240454934392437
6754d95f656838004bc46eed,Male,VA,d_prime,SS5_D3,1.3609517559993352,0.25284733995224573
6754d95f656838004bc46eed,Male,VA,mean_rt,SS5_D3,2.0132296296296297,1.984615085233314
6754d95f656838004bc46eed,Male,VA,d_prime,SS5_D1,1.4652337926855226,0.2797745193968418
6754d95f656838004bc46eed,Male,VA,mean_rt,SS5_D1,1.6862692307692309,1.5913365463877343
6754d95f656838004bc46eed,Male,VA,d_prime,SS3_D3,3.234058831204229,1.2739420600564457
6754d95f656838004bc46eed,Male,VA,mean_rt,SS3_D3,1.8396814814814813,1.921024456362635
6754d95f656838004bc46eed,Male,VA,d_prime,SS3_D1,2.7889012713049075,0.5558852054691985
6754d95f656838004bc46eed,Male,VA,mean_rt,SS3_D1,1.5721,1.6077911153745332
672ba9e5dbe3b9649ad3864d,Female,VA,d_prime,SS5_D3,0.9710119085885026,0.02753475704724795
672ba9e5dbe3b9649ad3864d,Female,VA,mean_rt,SS5_D3,1.5011185185185183,0.34945069391880296
672ba9e5dbe3b9649ad3864d,Female,VA,d_prime,SS5_D1,0.6950799924537355,
672ba9e5dbe3b9649ad3864d,Female,VA,mean_rt,SS5_D1,1.5450962962962962,0.9029917156556668
672ba9e5dbe3b9649ad3864d,Female,VA,d_prime,SS3_D3,2.53905900811532,0.7869736524441521
672ba9e5dbe3b9649ad3864d,Female,VA,mean_rt,SS3_D3,1.5131074074074076,0.6834391887035915
672ba9e5dbe3b9649ad3864d,Female,VA,d_prime,SS3_D1,2.16884944753976,0.13890612269993644
672ba9e5dbe3b9649ad3864d,Female,VA,mean_rt,SS3_D1,1.432589285714286,0.658801058425682
64012a2623351894f2917605,Male,VA,d_prime,SS5_D3,0.6625074372225022,-0.8252118359078394
64012a2623351894f2917605,Male,VA,mean_rt,SS5_D3,0.9331481481481482,-1.031303976338072
64012a2623351894f2917605,Male,VA,d_prime,SS5_D1,2.217715480016221,1.362112312415134
64012a2623351894f2917605,Male,VA,mean_rt,SS5_D1,0.9112592592592592,-0.9839744851154406
64012a2623351894f2917605,Male,VA,d_prime,SS3_D3,1.3022647393089928,-1.1066490762904349
64012a2623351894f2917605,Male,VA,mean_rt,SS3_D3,0.9600370370370372,-0.7655754861479473
64012a2623351894f2917605,Male,VA,d_prime,SS3_D1,2.822819323525392,0.5978403544716462
64012a2623351894f2917605,Male,VA,mean_rt,SS3_D1,0.949074074074074,-0.6320396846382262
5e76d2652d882b2481d65066,Female,VA,d_prime,SS5_D3,0.8685085801739252,-0.13121569742343994
5e76d2652d882b2481d65066,Female,VA,mean_rt,SS5_D3,1.7993148148148148,1.2136940510520264
5e76d2652d882b2481d65066,Female,VA,d_prime,SS5_D1,2.4936473961509886,
5e76d2652d882b2481d65066,Female,VA,mean_rt,SS5_D1,1.6828222222222224,1.3715855058260424
5e76d2652d882b2481d65066,Female,VA,d_prime,SS3_D3,1.6756621869334474,-0.2577248005450439
5e76d2652d882b2481d65066,Female,VA,mean_rt,SS3_D3,1.626296153846154,1.0505079352354192
5e76d2652d882b2481d65066,Female,VA,d_prime,SS3_D1,2.034992089979843,-0.02953015125049717
5e76d2652d882b2481d65066,Female,VA,mean_rt,SS3_D1,1.731957692307692,1.6295779865677378
60a48adfe091e410f4eaba34,Male,VA,d_prime,SS5_D3,0.7322127136011394,-0.7176207069006553
60a48adfe091e410f4eaba34,Male,VA,mean_rt,SS5_D3,0.9252,-1.0534976459039216
60a48adfe091e410f4eaba34,Male,VA,d_prime,SS5_D1,0.5659488219328631,-1.0137188996811384
60a48adfe091e410f4eaba34,Male,VA,mean_rt,SS5_D1,0.9128535714285716,-0.9786766826764728
60a48adfe091e410f4eaba34,Male,VA,d_prime,SS3_D3,1.859209131621516,-0.42031460133791726
60a48adfe091e410f4eaba34,Male,VA,mean_rt,SS3_D3,0.9294714285714286,-0.8589286158870524
60a48adfe091e410f4eaba34,Male,VA,d_prime,SS3_D1,0.3661063568005696,-2.4410062722499
60a48adfe091e410f4eaba34,Male,VA,mean_rt,SS3_D1,1.0280461538461536,-0.34812839097626874
651d64f5eb4ac4993ecc5abd,Female,VA,d_prime,SS5_D3,1.0683510453062186,0.17828724899778498
651d64f5eb4ac4993ecc5abd,Female,VA,mean_rt,SS5_D3,1.2319296296296296,-0.43072233950188354
651d64f5eb4ac4993ecc5abd,Female,VA,d_prime,SS5_D1,1.3861825895867712,
651d64f5eb4ac4993ecc5abd,Female,VA,mean_rt,SS5_D1,1.2804666666666666,0.0026252791560905124
651d64f5eb4ac4993ecc5abd,Female,VA,d_prime,SS3_D3,1.4336768806787117,-0.5505237417600325
651d64f5eb4ac4993ecc5abd,Female,VA,mean_rt,SS3_D3,1.1230321428571428,-0.5815667674231764
651d64f5eb4ac4993ecc5abd,Female,VA,d_prime,SS3_D1,2.217715480016221,0.20039555132093465
651d64f5eb4ac4993ecc5abd,Female,VA,mean_rt,SS3_D1,1.270025925925926,0.13164870845131463
62861bcc5f0edf6340c914df,Female,VA,d_prime,SS5_D3,3.267976883424713,3.58492395892455
62861bcc5f0edf6340c914df,Female,VA,mean_rt,SS5_D3,1.14115,-0.6938231655177298
62861bcc5f0edf6340c914df,Female,VA,d_prime,SS5_D1,2.89131066495837,
62861bcc5f0edf6340c914df,Female,VA,mean_rt,SS5_D1,1.0625703703703704,-0.7387373267521402
62861bcc5f0edf6340c914df,Female,VA,d_prime,SS3_D3,3.571568129257897,2.0362956965980152
62861bcc5f0edf6340c914df,Female,VA,mean_rt,SS3_D3,0.9663814814814814,-1.0895815986119246
62861bcc5f0edf6340c914df,Female,VA,d_prime,SS3_D1,3.234058831204229,1.479287427337369
62861bcc5f0edf6340c914df,Female,VA,mean_rt,SS3_D1,0.8988444444444444,-1.072000074919491
6721aeda53346fd7b593efd7,Male,VA,d_prime,SS5_D3,1.569972747251497,0.575474343292169
6721aeda53346fd7b593efd7,Male,VA,mean_rt,SS5_D3,1.501059259259259,0.5544781842160352
6721aeda53346fd7b593efd7,Male,VA,d_prime,SS5_D1,2.256872400428897,1.4184339685223917
6721aeda53346fd7b593efd7,Male,VA,mean_rt,SS5_D1,1.4629071428571427,0.8491179038342025
6721aeda53346fd7b593efd7,Male,VA,d_prime,SS3_D3,3.571568129257897,1.6898619796545806
6721aeda53346fd7b593efd7,Male,VA,mean_rt,SS3_D3,1.2122925925925925,0.0048605296010636664
6721aeda53346fd7b593efd7,Male,VA,d_prime,SS3_D1,2.53905900811532,0.24684123940981434
6721aeda53346fd7b593efd7,Male,VA,mean_rt,SS3_D1,1.2783666666666669,0.5517949848561445
664f408259a7d76b52e2ae25,Male,VA,d_prime,SS5_D3,1.811714840529576,0.9486068534204795
664f408259a7d76b52e2ae25,Male,VA,mean_rt,SS5_D3,1.1780370370370372,-0.34749902214702966
664f408259a7d76b52e2ae25,Male,VA,d_prime,SS5_D1,2.031182614618386,1.0938113381067127
664f408259a7d76b52e2ae25,Male,VA,mean_rt,SS5_D1,1.1259035714285714,-0.27072448150315975
664f408259a7d76b52e2ae25,Male,VA,d_prime,SS3_D3,2.930467585371045,0.8998200809412
664f408259a7d76b52e2ae25,Male,VA,mean_rt,SS3_D3,1.0147892857142855,-0.598351798125314
664f408259a7d76b52e2ae25,Male,VA,d_prime,SS3_D1,3.5376500770374126,1.4820547716254675
664f408259a7d76b52e2ae25,Male,VA,mean_rt,SS3_D1,0.968153846153846,-0.5634462932829876
6699571ba83beb19c5acbfef,Female,VA,d_prime,SS5_D3,-0.2725675898116698,-1.8984398780689098
