PROLIFIC_PID,overall_accuracy,practice_accuracy,max_consecutive_identical,percent_fast_trials,rt_sd,percent_missing_AD0,percent_missing_AD50,percent_missing_AD100,percent_missing_AD150,time_taken_minutes,negative_slope,large_angle_accuracy,excluded,exclusion_reason,n_excluded_trials_too_fast,n_excluded_trials_too_slow,n_excluded_trials_outlier
66733b0613db805ab4f05114,0.7708333333333334,1.0,8,0.0,1.0933237104605675,0.0,0.0,0.0,0.0,36.78333333333333,False,0.6458333333333334,False,,0,0,4
674ba6a23248254461461b54,0.6354166666666666,0.6666666666666666,5,0.0,0.9014081714233414,0.0,0.0,0.0,0.0,29.28333333333333,False,0.6458333333333334,False,,0,0,3
6761934aa62aae0c93863233,0.8125,1.0,4,4.166666666666666,1.343374829417093,0.0,0.0,0.0,0.0,30.78333333333333,False,0.7291666666666666,False,,4,0,0
668ddafedbce64d6094e759e,0.8736842105263158,0.6382978723404256,5,1.0526315789473684,0.9388818946615065,0.0,0.0,0.0,0.0,31.08333333333333,False,0.8125,False,,1,0,1
678ac1267cd2b3ce8d1fbf69,0.8541666666666666,0.75,6,0.0,1.2984194336714718,0.0,0.0,0.0,0.0,31.516666666666666,False,0.8125,False,,0,0,3
665f97db56096b743c2332b1,0.9270833333333334,0.8181818181818182,4,0.0,1.417149377391462,0.0,0.0,0.0,0.0,29.83333333333333,False,0.875,False,,0,0,2
674dc32400f538862eb27f89,0.71875,0.46564885496183206,6,0.0,0.8669612014224914,0.0,0.0,0.0,0.0,50.71666666666667,False,0.6666666666666666,True,Practice accuracy < 50%,0,0,0
6734c8a6c51b8aee49adbd1b,0.6179775280898876,0.6451612903225806,17,0.0,1.5892986525964985,0.0,0.0,0.0,0.0,60.36666666666667,False,0.4444444444444444,True,Identical responses for > 8 consecutive trials,0,0,0
5efe44bebdee09152fe08acc,0.9166666666666666,0.9166666666666666,5,0.0,1.046283372049462,0.0,0.0,0.0,0.0,26.25,False,0.8958333333333334,False,,0,0,2
676d592187581f23f60331bb,0.5894736842105263,0.527027027027027,5,0.0,1.6464358473638996,0.0,0.0,0.0,0.0,96.18333333333334,True,0.5957446808510638,True,Overall accuracy < 60%,0,0,0
61052deed380657fcbe37682,0.8854166666666666,0.8181818181818182,7,0.0,0.9914107412557083,0.0,0.0,0.0,0.0,74.6,False,0.8541666666666666,False,,0,0,2
66dd9c5b1c02410a87c068e5,0.8829787234042553,0.75,5,0.0,1.5289756332314643,0.0,0.0,0.0,0.0,40.15,False,0.8478260869565217,False,,0,0,1
677a8ed897bc0e0f12d23e86,0.5473684210526316,0.5949367088607594,12,1.0526315789473684,1.5001942816362073,0.0,0.0,0.0,0.0,47.833333333333336,False,0.48936170212765956,True,Overall accuracy < 60%; Identical responses for > 8 consecutive trials,0,0,0
6740f034985ba328ea9bacbf,0.48936170212765956,0.5043478260869565,9,0.0,1.4628747804232436,0.0,0.0,0.0,0.0,57.96666666666667,False,0.5434782608695652,True,Overall accuracy < 60%; Identical responses for > 8 consecutive trials,0,0,0
6766dee165ff1cc0f8decea0,0.9157894736842105,0.625,6,0.0,1.3747811423884768,0.0,0.0,0.0,0.0,38.91666666666666,False,0.8723404255319149,False,,0,0,1
